str_no_string|NO STRING!
str_enable_valve_anti_cheat|允 许 Valve 反 作 弊 ( 需 要 有 效 的 Steam 账 号 )
str_allow_friendly_fire|允 许 远 程 队 友 伤 害 
str_allow_melee_friendly_fire|允 许 队 友 近 战 伤 害 
str_friendly_fire_damage_self_ratio|队 友 伤 害 到 自 己 ( % )， 
str_friendly_fire_damage_friend_ratio|队 友 伤 害 到 队 友 ( % )， 
str_spectator_camera|旁 观 者 视 角 ， 
str_control_block_direction|格 挡 方 向 控 制 ， 
str_map_time_limit|地 图 时 间 限 制 ( 分 钟 )， 
str_round_time_limit|回 合 时 间 限 制 ( 秒 )， 
str_players_take_control_of_a_bot_after_death|玩 家 死 亡 后 切 换 到 虚 拟 人 ， 
str_team_points_limit|队 伍 分 数 限 制 ， 
str_point_gained_from_flags|夺 旗 奖 励 队 伍 分 数 ( 百 分 比 )， 
str_point_gained_from_capturing_flag|抢 旗 奖 励 分 数 ， 
str_respawn_period|重 生 间 隔 时 间 ( 秒 )， 
str_add_to_official_game_servers_list|加 入 官 方 服 务 器 列 表 
str_combat_speed|战 斗 速 度 ， 
str_combat_speed_0|最 慢 
str_combat_speed_1|稍 慢 
str_combat_speed_2|正 常 
str_combat_speed_3|稍 快 
str_combat_speed_4|最 快 
str_off|关 闭 
str_on|开 
str_defender_spawn_count_limit|防 守 方 最 大 重 生 次 数 ， 
str_unlimited|无 限 制 
str_automatic|自 动 
str_by_mouse_movement|滑 鼠 控 制 
str_free|自 由 
str_stick_to_any_player|锁 定 任 一 玩 家 
str_stick_to_team_members|锁 定 队 友 
str_stick_to_team_members_view|锁 定 为 队 友 视 角 
str_make_factions_voteable|可 投 票 选 择 势 力 
str_make_kick_voteable|可 投 票 踢 玩 家 
str_make_ban_voteable|可 投 票 禁 止 玩 家 
str_bots_upper_limit_for_votes|可 投 票 选 择 虚 拟 人 的 上 限 ， 
str_make_maps_voteable|可 投 票 选 择 地 图 
str_valid_vote_ratio|投 票 最 低 通 过 比 例 ( % )， 
str_auto_team_balance_limit|自 动 队 伍 平 衡 最 低 值 ( 相 差 )， 
str_welcome_message|欢 迎 信 息 ， 
str_initial_gold_multiplier|初 始 金 额 ( % )， 
str_battle_earnings_multiplier|战 斗 奖 金 ( % ):
str_round_earnings_multiplier|回 合 奖 金 ( % )， 
str_allow_player_banners|允 许 个 性 旗 帜 
str_force_default_armor|强 制 起 始 防 具 
str_respawning_in_reg0_seconds|{reg0}秒 后 重 生 ……
str_no_more_respawns_remained_this_round|此 局 已 不 能 复 活 
str_reg0_respawns_remained|( 还 剩 {reg0}条 命 )
str_this_is_your_last_respawn|( 这 是 你 的 最 后 一 条 命 )
str_wait_next_round|( 等 候 下 一 回 合 )
str_yes_wo_dot|可 
str_no_wo_dot|否 
str_we_resign|我 们 没 有 足 够 的 兵 力 继 续 作 战 。 我 们 向 你 投 降 ， {playername}。 
str_i_resign|我 还 想 活 下 去 。 我 投 降 。 
str_s1_returned_flag|{s1}将 丢 失 的 旗 帜 重 新 夺 回 ！ 
str_s1_auto_returned_flag|{s1}旗 帜 自 动 回 到 了 他 们 的 基 地 ！ 
str_s1_captured_flag|{s1}俘 获 敌 军 旗 帜 ！ ！ 
str_s1_taken_flag|{s1}抢 到 了 敌 军 旗 帜 ！ 
str_s1_neutralized_flag_reg0|{s1}已 中 立 化 旗 帜 {reg0}。 
str_s1_captured_flag_reg0|{s1}占 领 了 旗 帜 {reg0}！ 
str_s1_pulling_flag_reg0|{s1}开 始 在 {reg0}旗 区 升 旗 。 
str_s1_destroyed_target_0|{s1}摧 毁 目 标 A！ 
str_s1_destroyed_target_1|{s1}摧 毁 目 标 B！ 
str_s1_destroyed_catapult|{s1}摧 毁 投 石 机 ！ 
str_s1_destroyed_trebuchet|{s1}摧 毁 投 石 车 ！ 
str_s1_destroyed_all_targets|{s1}摧 毁 了 所 有 目 标 。 
str_s1_saved_1_target|{s1}保 护 了 一 个 目 标 。 
str_s1_saved_2_targets|{s1}守 住 了 所 有 目 标 ！ 
str_s1_defended_castle|{s1}守 住 了 城 堡 ！ 
str_s1_captured_castle|{s1}占 领 城 堡 ！ ！ 
str_auto_team_balance_in_20_seconds|20 秒 内 将 自 动 调 整 双 方 力 量 。 
str_auto_team_balance_next_round|下 一 回 合 将 自 动 调 整 双 方 力 量 。 
str_auto_team_balance_done|自 动 调 整 双 方 力 量 完 成 。 
str_s1_won_round|{s1}此 回 合 胜 ！ ！ 
str_round_draw|时 间 到 ， 平 局 。 
str_round_draw_no_one_remained|无 人 幸 存 ， 平 局 。 
str_death_mode_started|死 亡 时 间 开 始 ！ ！ 
str_reset_to_default|默 认 设 置 
str_done|完 成 
str_player_name|玩 家 
str_kills|杀 
str_deaths|没 
str_ping|Ping
str_dead|死 亡 
str_reg0_dead|{reg0}死 亡 
str_bots_reg0_agents|虚 拟 人 ({reg0}人 )
str_bot_1_agent|虚 拟 人 (1 人 )
str_score|得 分 
str_score_reg0|得 分 ， {reg0}
str_flags_reg0|( 旗 帜 ， {reg0})
str_reg0_players|({reg0}玩 家 )
str_reg0_player|({reg0}玩 家 )
str_open_gate|开 栅 
str_close_gate|关 栅 
str_open_door|开 门 
str_close_door|关 门 
str_raise_ladder|架 梯 
str_drop_ladder|拆 梯 
str_back|返 回 
str_start_map|开 始 地 图 
str_choose_an_option|选 项 ， 
str_choose_a_poll_type|投 票 类 型 ， 
str_choose_faction|选 择 国 家 
str_choose_a_faction|选 择 国 家 ， 
str_choose_troop|选 择 兵 种 
str_choose_a_troop|选 择 兵 种 等 级 ， 
str_choose_items|选 择 装 备 
str_options|选 项 
str_redefine_keys|重 新 定 义 键 值 
str_submit_a_poll|发 起 投 票 
str_administrator_panel|管 理 员 界 面 
str_kick_player|踢 出 玩 家 
str_ban_player|禁 止 玩 家 
str_mute_player|沉 默 玩 家 
str_unmute_player|取 消 沉 默 玩 家 
str_quit|退 出 
str_poll_for_changing_the_map|改 换 地 图 
str_poll_for_changing_the_map_and_factions|改 换 地 图 和 国 家 
str_poll_for_changing_number_of_bots|改 变 虚 拟 人 数 量 
str_poll_for_kicking_a_player|踢 出 玩 家 
str_poll_for_banning_a_player|禁 止 玩 家 
str_choose_a_player|选 择 一 个 玩 家 ， 
str_choose_a_map|选 择 一 个 地 图 ， 
str_choose_a_faction_for_team_reg0|给 组 队 {reg0}选 择 一 个 国 家 ， 
str_choose_number_of_bots_for_team_reg0|给 组 队 {reg0}选 择 虚 拟 人 数 量 ， 
str_spectator|旁 观 者 
str_spectators|旁 观 者 
str_command|命 令 ， 
str_profile_banner_selection_text|给 你 的 角 色 选 定 一 面 旗 帜 
str_use_default_banner|使 用 国 家 默 认 旗 帜 
str_party_morale_is_low|一 些 部 队 士 气 低 下 ！ 
str_weekly_report|周 报 告 
str_has_deserted_the_party|逃 离 了 队 伍 。 
str_have_deserted_the_party|逃 离 了 队 伍 。 
str_space| 
str_us_|我 军 
str_allies_|友 军 
str_enemies_|敌 军 
str_routed|败 走 
str_weekly_budget|周 预 算 
str_income_from_s0|{s0}收 入 ， 
str_mercenary_payment_from_s0|{s0} 客 金 ， 
str_s0s_party|{s0}的 军 势 
str_loss_due_to_tax_inefficiency|知 领 不 明 
str_wages_for_s0|{s0} 的 扶 持 米 与 报 奖 金 ， 
str_earlier_debts|先 前 借 金 ， 
str_net_change|净 收 支 ， 
str_earlier_wealth|先 前 库 金 ， 
str_new_wealth|新 库 金 ， 
str_new_debts|新 借 金 ， 
str_maximum_seconds_for_round_is_reg0|每 轮 的 最 大 秒 数 是 {reg0}。 
str_respawn_period_is_reg0_seconds|复 活 时 间 是 {reg0}秒 。 
str_bots_upper_limit_for_votes_is_reg0|投 票 可 以 设 置 的 最 大 虚 拟 人 数 为 {reg0}。 
str_map_is_voteable|此 地 图 可 投 票 。 
str_map_is_not_voteable|此 地 图 不 能 投 票 
str_factions_are_voteable|可 投 票 选 择 国 家 。 
str_factions_are_not_voteable|不 可 投 票 选 择 国 家 。 
str_players_respawn_as_bot|玩 家 作 为 虚 拟 人 重 生 。 
str_players_do_not_respawn_as_bot|玩 家 不 作 为 虚 拟 人 重 生 。 
str_kicking_a_player_is_voteable|可 以 投 票 踢 出 玩 家 。 
str_kicking_a_player_is_not_voteable|不 能 就 是 否 踢 出 一 名 玩 家 进 行 投 票 。 
str_banning_a_player_is_voteable|可 以 投 票 禁 止 玩 家 。 
str_banning_a_player_is_not_voteable|不 能 就 是 否 禁 止 一 名 玩 家 进 行 投 票 。 
str_player_banners_are_allowed|允 许 玩 家 旗 帜 。 
str_player_banners_are_not_allowed|不 允 许 玩 家 旗 帜 。 
str_default_armor_is_forced|默 认 防 具 已 被 强 制 使 用 。 
str_default_armor_is_not_forced|默 认 防 具 没 有 强 制 使 用 。 
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|达 成 决 议 所 需 的 赞 成 票 比 例 是 {reg0}% 。 
str_auto_team_balance_threshold_is_reg0|自 动 队 伍 平 衡 的 临 界 值 是 {reg0}。 
str_starting_gold_ratio_is_reg0|初 始 金 钱 比 率 是 {reg0}% 。 
str_combat_gold_bonus_ratio_is_reg0|战 斗 奖 金 获 取 率 是 {reg0}% 。 
str_round_gold_bonus_ratio_is_reg0|回 合 奖 金 比 率 是 {reg0}% 。 
str_point_gained_from_flags_is_reg0|夺 旗 获 得 的 队 伍 分 数 为 {reg0}% 。 
str_point_gained_from_capturing_flag_is_reg0|获 得 旗 帜 的 奖 励 分 数 为 {reg0}% 。 
str_map_time_limit_is_reg0|地 图 时 间 限 制 为 {reg0}分 钟 。 
str_team_points_limit_is_reg0|队 伍 分 数 限 制 为 {reg0}。 
str_defender_spawn_count_limit_is_s1|默 认 重 生 次 数 为 {s1}。 
str_system_error|系 统 错 误 ！ 
str_prisoner_granted_parole|战 俘 获 得 释 放 
str_prisoner_not_offered_parole|战 俘 没 有 被 释 放 
str__age_reg1_family_|^ 年 龄 ， {reg1}^ 家 族 ， 
str_s49_s12_s11_rel_reg0|{s49}{s12}( {s11}， rel， {reg0}) ， 
str_s49_s12_s11|{s49}{s12}( {s11}) ， 
str_lord_info_string|{reg6?:{reg4?{s54}是 {s56}的 统 治 者 。 ^:{s54}是 {s56}的 {s55}手 下 的 一 位 领 主 。 ^}}声 望 :{reg5}。 争 议 ， {reg15}。 ^{reg9?{reg3?她 :他 }是 {s58}的 {reg3?领 主 :领 主 }。 :{reg3? 她 :他 }没 有 封 地 。 }{s59}^{s49}
str_foreign_relations__|外 交 关 系 ， ^
str_s21__the_s5_is_at_war_with_the_s14|{s21}^*{s5}与 {s14}正 处 于 战 争 状 态 中 。 
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21}{s5}在 交 战 中 处 于 上 风 
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21}{s5}在 交 战 中 处 于 下 风 
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21}战 争 已 经 持 续 了 很 长 时 间 ， 这 场 战 争 可 能 很 快 将 以 一 纸 休 战 条 约 作 为 结 束 。 
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21}战 争 只 是 刚 刚 开 始 ， 这 场 战 争 应 该 还 会 持 续 一 段 时 间 。 
str__however_the_truce_is_no_longer_binding_on_the_s14|不 管 怎 样 ， 现 在 {s14}不 再 受 到 和 约 的 束 缚 了 。 
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^* {s5}由 于 休 战 条 约 的 约 束 而 无 法 攻 击 {s14}。 {s18}休 战 条 约 将 在 {reg1}天 后 终 止 。 
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^* {s5}最 近 收 到 了 {s14}的 挑 衅 很 可 能 会 引 发 一 场 战 争 。 
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^* {s5}在 关 于 {s14}的 事 宜 上 没 有 什 么 是 悬 而 未 决 的 。 
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}{s14}近 期 遭 到 了 {s5}的 挑 衅 ， 很 可 能 将 会 爆 发 一 场 战 争 。 ^
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5}由 {s6}统 治 。 ^占 据 着 {s8}。 ^封 臣 分 别 是 {s10}。 ^^{s21}
str_reg4_killed_reg5_wounded_reg6_routed|{reg4}被 杀 ， {reg5}受 伤 ， {reg6}逃 走 
str_reg4_killed_reg5_routed|{reg4}被 杀 ， {reg5}逃 走 
str_reg4_killed_reg5_wounded|{reg4}被 杀 ， {reg5}受 伤 
str_reg4_wounded_reg5_routed|{reg4}受 伤 ， {reg5}逃 走 
str_s42|{s42}
str_s4_awarded_to_s5|{s4}奖 励 给 {s5}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|预 计 {s4}突 围 ， {reg3}兵 力 对 抗 {reg4}敌 军 
str_current_wealth_reg1_taxes_last_collected_from_s4|当 前 财 富 ， {reg1}文 钱 。 最 后 一 次 税 收 于 {s4}
str_s4_has_reg4_chance_of_recruiting_troops|{s4}有 {reg4}的 可 能 去 募 兵 
str_s4_has_reg4_chance_of_going_to_s5|{s4}有 {reg4}的 可 能 去 {s5}
str_s4_has_reg5_chance_of_patrolling_s6|{s4}有 {reg4}的 可 能 去 {s6}巡 逻 
str_s4_has_reg5_chance_of_raiding_s6|{s4}有 {reg4}的 可 能 去 劫 掠 {s6}
str_s4_has_reg5_chance_of_besieging_s6|{s4}有 {reg4}的 可 能 去 围 困 {s6}
str_sum_chances_reg6|合 计 可 能 ， {reg6}
str_deciding_faction_ai_for_s3|决 定 {s3}的 国 家 AI
str_lords_of_the_s1_gather_for_a_feast_at_s2|{s1}的 领 主 们 聚 集 在 {s2}大 摆 筵 席 。 
str_players_kingdom_has_had_reg3_days_of_peace|玩 家 的 王 国 已 经 保 持 了 {reg3}天 的 和 平 
str_s4_is_present_at_the_center_and_is_attending_the_feast|{s4}到 来 并 正 在 出 席 茶 会 
str_s4_is_present_at_the_center_and_is_awaiting_the_player_in_private|{s4}到 来 并 正 在 私 下 等 待 玩 家 的 到 来 
str_s4_is_present_at_the_center_and_is_allowed_to_meet_the_player|{s4}到 来 并 允 许 接 见 玩 家 
str_s4_is_present_at_the_center_and_is_not_allowed_to_meet_the_player|{s4}到 来 并 不 许 接 见 玩 家 
str_no_relation|无 关 系 
str_niece|侄 女 
str_nephew|侄 子 
str_aunt|阿 姨 
str_uncle|叔 叔 
str_cousin|同 辈 
str_daughterinlaw|儿 媳 
str_soninlaw|女 婿 
str_motherinlaw|岳 母 
str_fatherinlaw|岳 父 
str_sisterinlaw|妯 娌 
str_brotherinlaw|连 襟 
str_print_party_members_entered|打 印 进 入 的 队 伍 成 员 
str_num_companion_stacks_=_reg10|num companion stacks = {reg10}
str_someone|某 个 人 
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|我 干 我 力 所 能 及 的 活 ， {先 生 /夫 人 }。 我 运 水 ， 帮 那 些 商 人 们 装 货 ， 或 者 帮 忙 建 造 东 西 ， 如 果 有 东 西 需 要 被 建 造 的 话 。 
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|我 现 在 什 么 事 情 都 没 有 ， {先 生 /夫 人 }。 这 些 天 附 近 没 有 活 要 干 。 
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|我 现 在 什 么 事 情 都 没 有 ， {先 生 /夫 人 }。 我 没 有 自 己 的 土 地 ， 而 且 这 些 天 附 近 没 有 活 要 干 。 
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|啊 ， 我 还 在 仰 仗 你 的 仁 慈 和 善 良 生 活 ， {先 生 /夫 人 }。 我 由 衷 的 希 望 能 有 活 干 ， 越 快 越 好 。 
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|我 就 在 城 外 的 地 里 干 活 ， 种 些 小 麦 。 我 们 的 收 成 不 够 糊 口 ， 还 得 从 周 围 的 其 他 村 子 进 一 些 。 
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|我 大 多 数 时 候 都 在 地 里 干 活 ， 种 小 麦 。 镇 子 里 的 人 把 它 们 磨 碎 了 做 面 包 或 是 麦 酒 ， 而 我 们 也 用 它 们 煮 粥 喝 。 
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|我 在 酿 酒 作 坊 里 干 活 ， 酿 制 麦 酒 。 那 些 穷 人 们 总 是 要 喝 很 多 这 个 ， 因 为 它 比 葡 萄 酒 便 宜 多 了 。 我 们 用 从 村 子 里 买 来 的 小 麦 作 原 料 。 
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|我 在 磨 坊 里 干 活 ， 磨 出 面 粉 来 做 面 包 。 面 包 便 宜 ， 易 于 贮 存 ， 还 能 充 饥 。 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|我 养 牛 。 我 们 把 牛 肉 风 干 腌 制 保 存 ， 把 生 皮 送 到 镇 上 加 工 成 皮 革 ， 还 用 牛 奶 做 奶 酪 。 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|我 养 牛 。 我 们 把 牛 肉 风 干 腌 制 保 存 ， 把 生 皮 送 到 镇 上 加 工 成 皮 革 ， 还 用 牛 奶 做 奶 酪 。 
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|我 养 羊 。 我 们 把 羊 毛 送 进 城 市 让 他 们 织 成 衣 物 ， 在 杀 掉 一 些 老 弱 的 羊 之 后 ， 我 们 还 会 把 羊 肉 做 成 香 肠 。 
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|我 在 织 布 机 上 工 作 ， 将 羊 毛 纺 成 衣 物 。 羊 毛 衣 物 是 你 所 能 买 到 的 最 便 宜 的 衣 物 之 一 ， 但 它 一 样 能 让 你 保 暖 。 
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|我 在 一 条 渔 船 上 工 作 。 我 们 腌 制 并 熏 烤 捕 到 的 鱼 ， 然 后 把 它 们 卖 到 遥 远 的 内 陆 。 
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|我 在 附 近 的 一 片 水 边 洼 地 中 筛 盐 。 哪 里 都 需 要 盐 ， 用 来 保 存 肉 和 鱼 。 
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|我 从 附 近 一 处 悬 崖 中 的 矿 脉 中 开 采 铁 矿 石 。 人 们 用 它 来 制 造 工 具 ， 武 器 ， 还 有 其 它 东 西 。 
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|我 制 作 陶 器 ， 人 们 用 它 们 来 装 小 麦 ， 运 水 。 
str_trade_explanation_tools|我 在 铁 匠 铺 干 活 ， {先 生 /夫 人 }， 做 各 种 铁 器 ， 匕 首 ， 斧 子 ， 铁 罐 ， 犁 片 ， 巨 镰 ， 铁 锤 ， 铁 砧 ， 钳 子 ， 扁 斧 ， 锯 子 ， 钉 子 ， 马 蹄 铁 ， 点 火 棒 ， 火 盆 ， 当 然 还 有 各 位 阁 下 的 武 器 和 盔 甲 。 
str_trade_explanation_oil|我 在 一 个 榨 油 作 坊 工 作 ， 用 从 乡 村 收 购 来 的 橄 榄 为 原 料 制 油 。 只 要 你 买 得 起 ， 有 的 是 用 得 上 油 的 地 方 ， 烹 饪 ， 照 明 ， 甚 至 帮 助 顺 产 。 
str_trade_explanation_linen|我 纺 织 亚 麻 布 ， 用 从 周 边 乡 村 收 购 来 的 亚 麻 作 原 料 。 它 能 做 出 轻 便 结 实 的 衣 物 来 ， {大 人 /夫 人 }， 很 适 合 做 夏 天 的 衣 服 ， 水 手 的 衣 服 ， 或 者 类 似 的 什 么 。 
str_trade_explanation_velvet|我 在 镇 上 的 一 家 大 织 布 作 坊 做 工 ， 那 里 的 织 布 作 坊 以 精 工 细 制 的 丝 绸 闻 名 。 我 们 用 翻 越 山 脉 带 来 的 丝 ， 世 界 远 角 的 染 料 ， 制 成 这 个 地 方 最 精 美 ， 最 奢 华 的 布 料 。 
str_trade_explanation_spice|我 在 商 队 旅 馆 干 活 ， 替 商 人 把 他 们 翻 山 越 岭 带 来 的 香 料 卸 下 来 。 胡 椒 粉 ， 肉 桂 ， 丁 香 油 ， 西 红 花 …… 富 人 们 以 他 们 食 物 中 香 料 的 多 少 来 标 志 他 们 的 财 富 ， 并 且 他 们 断 定 对 于 任 何 一 种 身 心 失 调 ， 总 会 有 一 种 香 料 能 够 把 它 治 好 。 
str_trade_explanation_apples|我 就 在 果 园 里 种 苹 果 。 我 们 把 它 们 风 干 储 存 ， 或 者 制 成 果 酒 或 醋 。 
str_trade_explanation_grapes|我 在 山 坡 上 的 葡 萄 园 工 作 ， 用 种 植 的 葡 萄 酿 酒 ， 上 等 酒 被 送 到 贵 族 和 富 商 的 餐 桌 上 ， 廉 价 酒 兑 水 后 给 普 通 人 解 渴 。 
str_trade_explanation_dyes|我 在 商 队 旅 馆 工 作 ， 卸 下 从 日 本 以 外 的 地 方 带 来 的 染 料 ， 深 红 的 橡 树 甲 虫 和 红 色 的 茜 草 根 ， 靛 蓝 色 的 木 蓝 属 植 物 和 菘 蓝 灌 木 ， 黄 木 犀 草 根 和 燃 料 木 。 织 布 工 用 它 给 王 国 里 显 要 贵 族 的 丝 绸 和 丝 绸 上 色 。 
str_trade_explanation_leatherwork|我 在 城 墙 外 面 的 制 革 工 场 做 工 ， 把 乡 下 送 来 的 熟 皮 鞣 制 成 优 良 而 柔 软 的 皮 革 。 这 是 个 令 人 恶 心 的 工 作 ， 我 回 家 的 时 候 身 上 发 出 尿 ， 粪 便 和 石 灰 交 织 的 恶 臭 ， 但 是 人 们 的 靴 子 ， 马 鞍 肚 带 ， 缰 绳 的 原 料 就 是 这 个 ， {先 生 /尊 敬 的 女 士 }。 
str_trade_explanation_flax|我 做 针 线 活 ， 收 获 亚 麻 籽 ， 并 使 茎 腐 烂 得 到 亚 麻 纤 维 。 这 就 是 人 们 的 精 美 亚 麻 布 料 的 来 源 ， {先 生 /尊 敬 的 女 士 }， 一 个 田 边 的 腐 化 坑 。 
str_trade_explanation_dates|我 照 看 着 一 片 椰 枣 树 林 。 我 们 用 井 水 种 植 椰 枣 ， 还 有 由 于 椰 枣 可 以 保 持 数 月 而 不 彻 底 失 水 ， 所 以 我 们 可 以 向 各 地 输 出 椰 枣 。 椰 枣 吃 起 来 不 仅 像 蜜 一 样 甜 ， 而 且 会 使 人 健 康 强 壮 。 
str_trade_explanation_olives|我 看 管 着 一 处 橄 榄 树 林 。 果 实 可 以 吃 或 者 浸 在 盐 水 中 保 存 起 来 ， 不 过 我 们 最 终 会 把 大 多 数 橄 榄 榨 成 橄 榄 油 。 
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14}。 我 听 说 你 能 在 {s15}把 这 东 西 卖 个 好 价 钱 。 
str_s2s_rebellion|{s2}叛 军 
str_political_suggestion|政 策 建 议 
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|动 乱 ， {reg0}% 的 领 主 感 到 不 满 ， {reg1}% 感 到 不 安 
str_reg1shehe_is_prisoner_of_s1|{reg1?她 :他 }是 {s1}的 俘 虏 。 
str_s39_rival|{s39}( 政 敌 )
str_s41_s39_rival|{s41}， {s39}( 政 敌 )
str_love_interest|爱 情 影 响 
str_betrothed|已 婚 的 
str_other_relations_s40_|其 它 关 系 ， {s40}^
str_relation_with_liege_reg0_|和 君 主 关 系 ， {reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|安 全 感 ， 军 事 上 {reg1}, 朝 中 地 位 {reg3}^
str_political_details_s47_|内 政 详 细 ， ^{s47}^
str_the_s55|{s55}
str_travellers_on_the_road|道 路 上 的 旅 行 者 
str_a_short_while_ago|刚 刚 
str_one_day_ago|一 天 之 前 
str_two_days_day_ago|两 天 以 前 
str_earlier_this_week|这 周 早 些 时 候 
str_about_a_week_ago|一 周 以 前 
str_about_two_weeks_ago|两 周 之 前 
str_several_weeks_ago|几 星 期 之 前 
str_unknown_assailants|未 知 攻 击 者 
str_swadians|斯 瓦 迪 亚 
str_vaegirs|维 吉 亚 
str_khergits|库 吉 特 
str_nords|诺 德 
str_rhodoks|罗 多 克 
str_sarranids|萨 兰 德 
str_uesugi|Nagaoka
str_date|Sendai
str_oda|Tsu
str_mori|Choshu
str_takeda|Matsudaira
str_tokugawa|德 川 氏 
str_miyoshi|Tokushima
str_amako|Ikeda
str_otomo|Hosokawa
str_nanbu|Hirosaki
str_asakura|Hikone
str_chosokabe|Tosa
str_hojo|Edo
str_mogami|Kubota
str_shimazu|Satsuma
str_ryuzoji|Saga
str_satake|Mito
str_satomi|Jozai
str_ukita|Sakai
str_ikko|Kaga
str_ito|Nobeoka
str_ashikaga|Imperial^Court
str_imagawa|Morioka
str_saito|Ogaki
str_akamatsu|Fukuoka
str_bandits|强 盗 
str_deserters|乱 军 
str_your_followers|你 的 部 下 
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|我 们 已 经 得 知 前 往 {s40}的 旅 行 者 在 途 经 {s46}的 路 上 被 {s39}袭 击 了 
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|我 们 已 经 得 知 来 自 {s40}的 旅 行 者 在 途 经 {s46}的 路 上 被 {s39}袭 击 了 
str_travellers_coming_from_s40_traded_here_s46|来 自 {s40}的 旅 行 者 在 {s46}这 儿 做 生 意 
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|现 在 还 不 是 商 旅 繁 忙 的 时 节 ， 所 以 我 们 看 到 的 生 意 还 很 少 。 {s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|此 地 的 商 贸 现 在 完 全 不 值 一 提 。 {s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|此 地 的 商 贸 现 在 略 有 起 色 ， 但 还 不 够 。 {s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|此 地 的 商 贸 现 在 略 有 起 色 ， 但 道 路 不 靖 。 {s42}
str_the_roads_around_here_are_very_dangerouss42|此 地 附 近 的 道 路 非 常 危 险 。 {s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|镇 子 里 现 在 已 经 来 了 很 多 商 人 ， 虽 然 道 路 上 还 有 一 些 危 险 。 {s42}
str_we_have_received_many_traders_in_town_heres42|镇 子 里 现 在 已 经 来 了 很 多 商 人 。 {s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|目 前 没 有 那 些 往 返 于 {s44}的 城 镇 还 有 周 边 地 区 的 商 队 的 消 息 。 但 没 有 消 息 就 是 好 消 息 ， 所 以 那 些 商 队 可 以 被 视 作 是 安 全 的 。 
