qstr_Next_Page|下 一 页 
qstr_Though_the_distinction|尽 管 阶 级 高 下 如 此 悬 殊 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 仅 仅 带 着 背 上 的 乐 器 和 自 己 的 嗓 音 你 就 出 发 了 。 那 是 一 段 穷 苦 的 生 活 ， 因 为 人 们 不 赏 识 你 的 演 奏 而 在 许 许 多 多 的 夜 里 挨 饿 ， 不 过 你 设 法 靠 音 乐 维 持 生 存 。 多 年 以 后 你 在 酒 馆 里 为 醉 鬼 们 熟 练 的 演 奏 ， 甚 至 还 能 让 任 何 人 说 出 你 想 要 的 的 东 西 。 
qstr_Though_the_distinction_|尽 管 阶 级 高 下 如 此 悬 殊 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人 :男 人 }， 整 个 世 界 将 因 你 而 改 变 。 你 发 现 自 己 成 了 一 个 大 教 派 寺 庙 里 的 僧 侣 ， 在 那 里 你 诵 读 佛 经 ， 实 行 自 我 克 制 。 但 并 不 是 所 有 的 课 程 都 与 仪 式 或 启 蒙 有 关 。 不 过 ， 你 肯 定 能 观 察 到 如 何 使 用 长 矛 ， 或 如 何 说 服 绝 望 的 乡 民 或 农 民 拿 起 武 器 对 抗 武 士 。 
qstr_Though_the_distinction_f|尽 管 阶 级 高 下 如 此 悬 殊 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人 :男 人 }， 整 个 世 界 将 因 你 而 改 变 。 你 发 现 自 己 成 了 一 个 偏 远 村 庄 神 社 的 巫 女 ， 在 那 里 你 帮 助 维 护 神 社 ， 表 演 神 圣 的 舞 蹈 和 仪 式 。 但 并 不 是 所 有 的 任 务 都 与 神 灵 有 关 。 在 这 个 动 荡 的 时 代 ， 每 个 人 都 必 须 学 会 如 何 战 斗 和 生 存 。 
qstr_Though_the_distinction_fe|你 逐 渐 领 悟 到 阶 级 差 别 。 不 知 从 什 么 时 候 起 ， 你 已 经 成 为 了 一 名 {s13}， 整 个 世 界 似 乎 都 在 发 生 变 化 。 你 走 村 串 巷 ， 沿 街 叫 卖 自 己 贩 来 的 货 物 。 那 一 段 并 不 富 裕 的 生 活 ， 让 你 逐 渐 成 长 为 讲 价 的 能 手 ， 即 使 最 吝 啬 的 老 前 辈 也 能 给 你 一 个 好 价 钱 。 你 知 道 ， 不 久 你 将 开 始 发 展 自 己 的 贸 易 帝 国 ...
qstr_Though_the_distinction_fel|你 逐 渐 领 悟 到 阶 级 差 别 。 不 知 从 什 么 时 候 起 ， 你 已 经 成 为 了 一 名 {s13}， 整 个 世 界 似 乎 都 在 发 生 变 化 。 你 从 事 铁 匠 职 业 ， 用 手 打 造 出 各 种 各 样 的 工 具 。 你 逐 渐 掌 握 了 技 巧 ， 努 力 的 工 作 也 换 来 了 金 钱 、 食 物 和 火 上 的 铁 料 。 你 以 自 己 的 工 作 为 傲 ， 并 且 不 久 就 会 获 得 工 匠 大 师 的 称 号 。 
qstr_Though_the_distinction_felt|你 逐 渐 领 悟 到 阶 级 差 别 。 不 知 从 什 么 时 候 起 ， 你 已 经 成 为 了 一 名 {s13}， 整 个 世 界 似 乎 都 在 发 生 变 化 。 你 不 满 足 于 普 通 人 拼 命 捞 钱 的 生 活 ， 于 是 你 来 到 了 当 地 领 主 的 森 林 ， 决 定 自 己 动 手 丰 衣 足 食 ， 去 他 大 爷 的 法 律 。 你 猎 杀 鹿 、 野 猪 和 野 鹅 ， 然 后 把 珍 贵 的 肉 偷 偷 卖 掉 。 你 在 守 卫 的 眼 皮 底 下 砍 伐 树 木 ， 把 它 们 变 成 木 柴 ， 在 冬 天 温 暖 许 多 冰 冷 的 家 庭 。 这 一 切 只 是 为 了 几 个 铜 板 。 
qstr_Only_you_know_exactl|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 因 为 心 中 的 熊 熊 燃 烧 的 怒 火 ， 决 定 离 开 并 不 艰 难 。 你 要 复 仇 ， 你 要 审 判 ， 对 你 所 作 的 一 切 都 不 能 饶 恕 ， 所 有 的 债 只 能 用 鲜 血 来 偿 还 ...
qstr_Only_you_know_exactly|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 只 想 说 的 就 是 不 能 再 忍 受 下 去 ， 带 着 那 些 让 你 爱 得 如 此 甜 蜜 又 如 此 痛 苦 的 记 忆 。 也 许 新 的 生 活 会 让 你 忘 掉 ， 或 者 给 你 再 也 忍 不 住 要 说 的 那 个 名 字 带 去 荣 誉 ...
qstr_Only_you_know_exactly_|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 不 确 定 从 何 时 起 ， 家 园 变 成 了 监 狱 ， 亲 人 也 变 得 陌 生 ， 只 有 流 浪 占 据 了 你 的 世 界 。 不 管 是 向 往 遥 远 的 乐 土 还 是 仅 仅 路 上 的 自 由 ， 你 再 不 愿 呆 在 同 样 的 地 方 ， 只 是 再 不 回 头 地 走 下 去 ...
qstr_Only_you_know_exactly_w|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 知 道 再 也 不 能 回 去 ， 也 没 有 地 方 可 回 。 曾 经 的 家 园 已 经 烟 消 云 散 ， 你 必 须 面 对 现 实 ， 在 大 千 世 界 上 ， 沉 浮 全 靠 自 己 一 人 ...
qstr_Only_you_know_exactly_wh|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 每 个 人 都 知 道 ， 很 明 显 你 是 单 纯 为 钱 财 而 来 。 你 想 富 有 、 强 大 、 受 人 尊 敬 、 令 人 畏 惧 、 让 人 顺 从 。 你 想 让 人 们 都 知 道 你 的 名 字 ， 并 且 无 论 何 时 听 到 它 就 发 抖 。 你 想 要 每 一 样 东 西 ， 并 且 不 会 让 任 何 人 阻 止 你 得 到 它 ...
qstr_Back_to_the_beginnin|退 回 开 始 ...
qstr_View_next_segment...|查 看 下 节 ...
qstr_^No_food:___{reg7}|^ 没 有 食 物 ， -{reg7}
qstr_^Wage_debt:___{reg6}|^ 拖 欠 工 资 ， -{reg6}
qstr_On_loan|贷 款 ， 
qstr_Appoint_next_strateg|任 命 下 一 位 总 大 将 
qstr_Award_{s12}_as_fief|把 {s12}作 为 封 地 授 予 
qstr_No_one|没 有 人 
qstr_Selected_faction_is:|选 择 的 集 团 是 ， {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 阅 读 {s8}。 
qstr_You_are_not_reading_|你 没 有 在 读 任 何 书 籍 。 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_Your_estates_are:_{s|你 的 封 地 在 ， {s8}。 ^{s9}
qstr_^Samurai_Penalty:__{|^武 士 惩 罚 : -{reg5} (仆 人 占 1人 数 ){s5}
qstr_^Clan_Strategist:_+2|^总 大 将 : +20{s5}
qstr_^Clan_Leader:_+20{s5|^大 名 : +20{s5}
qstr_^Walled_Fief:_+{reg5|^城 池 : +{reg5}{s5}
qstr_^Walled_Fiefs:_+{reg|^城 池 : +{reg5}{s5}
qstr_Current_prisoner_lim|当 前 的 囚 犯 限 制 为 {reg8}。 ^^狱 卒 ， {s6} {reg6} ^政 党 人 数 修 饰 符 ， {s7} {reg7}
qstr_Current_bodyguard_li|当 前 的 护 卫 限 额 为 {reg9}。 ^^同 伴 或 伙 计 ： {reg10} ^仅 伙 计 ： {reg11}
qstr_Current_party_size_l|当 前 的 部 队 上 限 为 {reg5}^ 当 前 部 队 上 限 的 修 正 为 ， ^^基 础 人 数 ， {reg4}^玩 家 统 御 ， {s2}{reg1}^玩 家 魅 力 ， {s3}{reg2}^玩 家 声 望 ， {s4}{reg3}^玩 家 封 地 ， {s6}{reg6}^玩 家 骑 兵 ， {s7}{reg7}^国 家 政 策 ， {s8}{reg8}^ 总 计 ， {reg5}
qstr_Your_relation_with_t|你 与 各 个 阵 营 的 关 系 为 ， ^{s2}
qstr_Player_renown_is_inc|玩 家 声 望 上 升 100 点 。 
qstr_Player_honor_is_incr|玩 家 荣 誉 值 增 加 一 点 现 在 是 {reg7}。 
qstr_In_{playername}_s_pa|在 {playername}队 中 
qstr_{s3}_Inn|{s3}旅 馆 
qstr_{s3}_Prison|{s3}监 狱 
qstr_Captured__Travelling|被 俘 ( 旅 行 )
qstr_On_a_mission/returni|执 行 任 务 /从 任 务 返 回 
qstr_General|一 般 的 
qstr_{s1}^{s2}:_{s3}|{s1}^{s2}: {s3}
qstr_{s1}_I_am_the_only_c|{s1}  我 出 自 御 三 家 ， 是 将 军 的 继 承 人 选 。 在 成 长 过 程 中 ， 家 族 为 我 提 供 了 全 国 最 好 的 教 育 。 很 快 我 就 掌 握 了 剑 道 和 谋 略 之 道 。 在 我 年 轻 的 时 候 ， 家 族 让 我 远 离 了 国 家 的 问 题 ， 让 我 尝 到 了 和 平 与 和 谐 的 滋 味 。 但 很 快 我 就 意 识 到 根 本 没 有 和 谐 。 将 军 的 权 力 因 为 他 的 不 可 靠 、 奸 诈 、 所 谓 的 附 庸 而 削 弱 。 现 在 他 死 了 ， 但 他 的 遗 产 仍 在 我 心 中 。 他 没 有 能 力 维 持 和 平 。 但 现 在 我 是 幕 府 将 军 ， 所 有 人 都 会 向 我 鞠 躬 ！ 
qstr_{playername}_came_fr|{playername}来 自 京 都 皇 室 的 一 个 上 位 公 卿 。 
qstr_{playername}_came_fro|{playername}来 自 一 个 乡 村 武 士 家 庭 。 
qstr_{playername}_came_from|{playername}来 自 一 个 旅 行 商 人 家 庭 。 
qstr_{playername}_came_from_|{playername}来 自 在 部 队 服 役 的 徒 士 家 庭 。 
qstr_{playername}_was_rai|{playername}由 一 个 居 住 在 陆 地 上 的 家 庭 在 旷 野 长 大 。 
qstr_{playername}_s_famil|{playername}家 靠 {reg3?她 :他 }父 亲 犯 罪 维 生 。 
qstr_{s1}_Growing_up_{reg|{s1}长 大 了 ， {reg3?她 :他 }
qstr_{s1}_joined_the_hous|{s1}加 入 了 一 个 大 的 武 士 家 庭 ， 成 为 武 士 的 侍 从 。 
qstr_{s1}_My_father_provi|{s1}父 亲 为 我 提 供 了 我 所 能 获 得 的 最 好 的 教 育 。 很 快 ， 我 掌 握 了 剑 术 和 兵 法 。 
qstr_{s1}_joined_the_house|{s1}加 入 了 一 个 贵 族 家 庭 的 家 庭 ， 成 为 房 主 的 侍 女 。 
qstr_{s1}_joined_the_househ|{s1}加 入 了 一 个 伟 大 的 武 士 家 庭 的 家 中 ， 成 为 了 武 士 的 侍 从 。 
qstr_{s1}_learned_a_craft|{s1}学 了 一 种 手 艺 ， 并 在 一 个 大 师 的 教 导 下 成 为 徒 弟 ， 直 到 {reg3?她 :他 }能 够 以 自 己 的 方 式 谋 生 。 
qstr_{s1}_apprenticed_und|{s1}在 商 人 的 陪 练 下 ， 直 到 {reg3?她 :他 }能 够 以 自 己 的 方 式 赚 钱 。 
qstr_{s1}_lived_on_the_st|{s1}生 活 在 街 头 ， 靠 乞 讨 和 偷 窃 生 存 。 
qstr_{s1}_lived_deep_in_t|{s1}生 活 在 山 区 深 处 ， 学 习 如 何 生 存 。 
qstr_{s1}^^After_{reg3?sh|{s1} ^^ {reg3?她 :他 }成 年 后 ， {reg3?她 :他 }
qstr_{s1}_swore_fealty_to|{s1}宣 誓 效 忠 一 名 大 名 ， 守 护 他 的 城 堡 并 进 行 战 斗 。 
qstr_{s1}_joined_the_Empe|{s1}加 入 了 京 都 朝 廷 ， 帮 助 维 护 了 其 古 老 的 习 俗 和 少 有 的 威 望 。 
qstr_{s1}_wandered_across|{s1}在 全 国 各 地 徘 徊 ， 演 奏 音 乐 和 娱 乐 ， 赚 取 的 钱 足 以 维 持 另 一 天 的 生 活 。 
qstr_{s1}_joined_a_Buddhi|{s1}加 入 了 佛 教 寺 院 ， 训 练 他 的 身 体 和 精 神 ， 增 强 他 的 信 仰 和 宗 派 的 力 量 。 
qstr_{s1}_became_a_Miko_a|{s1}在 神 社 中 成 为 了 巫 女 ， 使 她 所 在 社 区 的 人 们 与 众 神 世 界 建 立 了 联 系 。 
qstr_{s1}_peddled_trinket|{s1}在 全 国 各 地 的 村 庄 贩 售 小 饰 品 和 商 品 。 
qstr_{s1}_set_up_shop_as_|{s1}在 一 个 街 道 里 开 了 一 家 铁 匠 铺 ， 为 其 他 工 匠 锻 造 和 修 理 工 具 ， 并 为 当 地 大 名 提 供 武 器 和 具 足 。 
qstr_{s1}_lived_off_the_l|{s1}像 隐 士 一 样 生 活 在 陆 地 上 ， 只 是 偶 尔 回 到 镇 上 来 出 售 游 戏 动 物 的 毛 皮 和 肉 食 。 
qstr_{s1}^^But_it_was_not|{s1} ^^但 这 并 没 有 持 续 。 
qstr_{s1}_A_great_wrong_w|{s1} {playername}犯 了 一 个 大 错 误 ， {reg3?她 :他 }不 得 不 抛 弃 {reg3?她 :他 }的 生 活 ， 直 到 {reg3?她 :他 }强 大 到 可 以 纠 正 为 止 … …
qstr_{s1}_{playername}_lo|{s1} {playername}失 去 了 一 个 对 {reg3?她 :他 }宝 贵 的 人 。 {reg3?她 :他 }并 没 有 呆 在 {reg3?她 :他 }所 在 的 地 方 ， 而 是 让 {reg3?她 :他 }的 情 感 创 伤 恶 化 ， 而 是 重 新 开 始 了 {reg3?她 :他 }的 生 活 ...
qstr_{s1}_A_desire_to_see|{s1}渴 望 看 到 世 界 在 {playername}的 征 战 下 燃 烧 ， 而 {reg3?她 :他 }不 得 不 抛 弃 {reg3?她 :他 }的 生 命 才 能 看 到 这 一 切 … …
qstr_{s1}_Suddenly_and_wi|{s1}突 然 没 有 任 何 警 告 ， 一 切 都 从 {reg3?她 :他 }被 夺 走 了 。 朋 友 成 了 敌 人 。 一 家 人 成 了 陌 生 人 。 {reg3?她 :他 }独 自 一 人 ...
qstr_{s1}_But_everything_|{s1}  但 一 切 都 必 须 结 束 。 上 代 将 军 已 死 。 现 在 我 是 幕 府 将 军 ！ 所 有 人 都 会 向 我 鞠 躬 ！ 
qstr_{s1}_{playername}_kn|{s1} {playername}  知 道 {reg3?她 :他 }  注 定 是 伟 大 的 。 {reg3?她 :他 }决 定 有 一 天 不 再 等 待 ， 用 {reg3?她 :他 }自 己 的 意 志 和 力 量 去 完 成 它 ……
qstr_{reg1}_{s1}_{reg2?ac|{reg1}个 {s1}{reg2?接 受 :接 受 }你 的 提 议 。 
qstr_No_one_accepts_the_o|没 人 接 受 你 的 提 议 。 
qstr_You_start_reading_{s|你 开 始 读 {s2}。 你 决 定 把 它 带 在 身 边 ， 一 有 空 就 读 几 页 。 
qstr_You_flip_through_the|你 翻 着 {s2}， 但 你 发 现 里 面 的 内 容 很 难 理 解 。 看 了 几 页 后 ， 你 感 觉 到 头 很 痛 ， 然 后 放 弃 阅 读 了 。 
qstr_Villagers|村 民 
qstr_You_have_encountered|你 遇 到 {s1}了 。 
qstr_You_have_engaged_{s1|你 与 {s1}开 战 了 ， 他 们 曾 经 袭 击 过 {s3}。 
qstr_You_were_caught_by_{|当 你 带 着 部 下 在 {s3}掠 夺 的 时 候 ， 被 {s1}撞 见 了 。 
qstr_You_were_victorious!|你 获 胜 了 ！ 
qstr_Battle_was_lost._You|你 战 败 了 。 你 的 队 伍 被 彻 底 摧 毁 了 。 
qstr_Your_companions_carr|你 的 同 伴 把 你 从 战 场 上 运 了 出 来 。 
qstr_You_have_defeated_th|你 击 败 了 敌 人 。 
qstr_You_have_retreated_f|你 撤 离 了 战 场 。 
qstr_^^Ally_Casualties:{s|^^ 友 军 伤 亡 ， {s0}
qstr_{s1}_of_{s3}_managed|{s3}的 {s1}设 法 逃 离 。 
qstr_Some_of_your_tendons|你 的 一 些 肌 腱 在 战 斗 中 受 伤 了 ， 你 失 去 1 点 力 量 。 
qstr_You_took_a_nasty_wou|你 遭 受 了 一 次 很 讨 厌 的 创 伤 导 致 你 即 使 痊 愈 了 还 是 有 些 跛 足 。 你 失 去 了 一 点 敏 捷 值 。 
qstr_You_have_trouble_thi|这 场 战 斗 结 束 以 后 ， 你 发 现 你 思 考 问 题 的 时 候 有 些 困 难 ， 也 许 是 因 为 战 斗 中 你 的 头 部 挨 了 特 别 重 的 一 击 。 而 且 现 在 你 频 繁 地 感 到 头 痛 。 你 的 智 力 下 降 1 点 。 
qstr_Perhaps_I_m_getting_|也 许 我 的 运 气 在 变 差 ...
qstr_Retirement_is_starti|撤 退 听 起 来 变 得 越 来 越 动 听 。 
qstr_No_matter!_I_will_pe|没 关 系 ！ 我 将 继 续 坚 持 ！ 
qstr_What_did_I_do_to_des|我 该 怎 么 做 才 能 得 到 这 些 ？ 
qstr_I_suppose_it_ll_make|我 猜 这 些 至 少 可 以 构 造 出 一 个 很 好 的 故 事 ...
qstr_{s9}_wants_you_to_fo|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进 。 
qstr_{s8}_of_{s9}|{s9}的 {s8}
qstr_liege|主 公 
qstr_former_overlord|前 领 主 
qstr_affiliate|附 属 
qstr_former_companion|旧 从 
qstr_marshall|总 大 将 
qstr_vassal|家 臣 
qstr__Your_own_banner_fli|你 的 织 立 于 城 墙 之 上 。 
qstr__You_see_the_banner_|你 看 到 {s7}的 织 立 于 城 墙 之 上 。 
qstr__You_see_the_banner_o|你 看 到 {s7}的 织 立 于 城 墙 之 上 。 
qstr__Your_own_banner_flie|你 自 己 的 织 立 于 在 城 墙 之 上 。 
qstr__You_see_the_banner_of|您 在 橹 楼 上 看 到 {s11} {s7}的 织 。 
qstr__You_see_the_banner_of_|您 在 橹 楼 上 看 到 {s7}的 织 。 
qstr_{s7}_with_your_agent|{s7} 和 你 的 同 伴 。 
qstr_{s7}_with_your_agents|{s7} 和 你 的 同 伴 。 
qstr_The_{reg6?town_s:cas|好 像 {reg6?城 镇 里 :城 堡 里 }食 品 仓 库 中 的 存 粮 能 够 支 持 {reg3}天 ({reg7}/{reg8})。 
qstr_The_{reg6?town_s:cast|{reg6?城 镇 里 :城 堡 里 }食 品 仓 库 中 已 经 没 有 存 粮 了 ， 守 城 人 员 快 要 饿 死 了 。 
qstr_You_re_preparing_to_|你 正 准 备 攻 击 围 墙 ， 需 要 {reg9}小 时 的 时 间 准 备 。 
qstr_Your_agents_are_insi|你 的 内 应 在 里 面 ， 一 有 机 会 就 试 图 打 开 大 门 。 他 们 希 望 从 现 在 起 {reg9}  小 时 后 收 到 好 消 息 。 
qstr_You_are_ready_to_att|你 准 备 好 随 时 攻 击 围 墙 了 。 
qstr_Your_agents_have_ope|你 的 内 应 打 开 了 敌 人 的 大 门 。 
qstr_As_a_last_defensive_|你 撤 退 到 城 堡 的 大 厅 里 进 行 最 后 的 防 御 。 你 和 你 手 下 残 余 的 士 兵 将 准 备 在 这 里 接 受 一 场 恶 战 。 如 果 你 战 败 了 ， 你 就 无 路 可 退 了 。 
qstr_You_ve_been_driven_a|你 被 敌 人 从 城 墙 上 面 赶 下 去 了 ， 现 在 敌 人 大 量 涌 入 街 道 内 。 如 果 你 能 击 败 他 们 ， 你 也 许 能 扭 转 局 势 ， 反 败 为 胜 。 
qstr_You_ve_breached_the_|你 已 经 突 破 了 城 墙 ， 但 是 那 些 顽 固 的 守 卫 者 继 续 在 街 道 上 抵 抗 你 的 攻 击 ！ 你 得 消 灭 他 们 才 能 攻 击 城 镇 中 心 的 城 堡 。 
qstr_The_town_centre_is_y|镇 广 场 是 你 的 了 ， 但 是 剩 下 的 守 卫 者 撤 退 到 城 堡 里 了 。 你 要 完 全 消 灭 他 们 才 能 取 得 完 全 的 胜 利 。 
qstr_The_remaining_defend|剩 下 的 守 卫 撤 退 到 城 堡 这 个 最 后 的 防 线 。 你 必 须 冲 进 去 清 除 剩 余 的 抵 抗 力 量 。 
qstr_However_since_you_ar|然 而 ， 自 从 你 放 弃 向 {s9}发 的 誓 言 。 他 是 绝 对 不 会 承 认 你 是 这 个 {reg8?城 镇 :城 堡 }的 领 主 。 
qstr_The_enemy_has_been_f|敌 人 被 迫 撤 退 了 。 进 攻 停 止 了 ， 但 是 围 城 还 在 继 续 。 
qstr_As_you_approach_you_|当 你 走 近 城 堡 ， 你 被 守 卫 发 现 了 ， 他 们 打 开 了 大 门 欢 迎 他 们 的 主 公 。 
qstr_As_you_approach_you_a|当 您 靠 近 时 ， 城 堡 守 卫 发 现 了 您 ， 他 们 欢 迎 您 并 为 他 们 的 主 人 打 开 大 门 。 
qstr_{s2}_Mansion|{s2} 城 
qstr_{s2}_Castle|{s2} 城 堡 
qstr_{s2}_Temple|{s2} 庙 
qstr_the_village_of_{s2}|{s2}的 村 庄 
qstr_the_burnt_out_ruins_|在 {s2}的 废 墟 。 您 在 残 骸 中 发 现 了 一 些 人 ， 但 他 们 却 在 您 的 视 线 中 逃 离 。 
qstr_{s2}._Its_defenders_|{s2}。 守 卫 者 打 败 你 后 显 得 很 得 意 ， 但 你 还 是 逃 脱 了 。 
qstr_{s2}._Its_defenses_a|{s2}。 它 的 防 御 工 事 严 阵 以 待 ， 防 御 者 随 时 准 备 应 对 任 何 威 胁 。 
qstr_{s2}._Your_banners_f|{s2}。 您 的 织 高 高 飘 扬 ， 哨 兵 向 您 致 敬 。 
qstr_mansion|城 
qstr_temple|寺 庙 
qstr_{playername}_has_tak|{playername}已 占 领 {s44}
qstr_{s8}_a|{s8} 一 个 
qstr_{s8}_an|{s8} 一 个 
qstr_{s8}_{s18}|{s8} {s18}
qstr_{s8}_a_single|{s8} 一 个 
qstr_{s8}_some|{s8} 一 些 
qstr_{s8}_{s18}.|{s8} {s18}.
qstr_{s3}^^{s4}|{s3}^^{s4}
qstr_{reg12}_mon|{reg12} 文 
qstr_Your_mark_got_a_good|你 的 目 标 已 经 看 清 了 你 的 长 相 ， 并 且 把 消 息 传 开 了 。 
qstr_former_liege|昔 日 主 公 
qstr__This_village_and_th|这 个 村 子 及 周 围 的 土 地 属 于 你 。 
qstr__You_remember_that_t|你 记 得 这 个 村 子 及 周 围 的 土 地 属 于 {s7}。 
qstr__You_remember_that_th|你 记 得 这 个 村 子 及 周 围 的 土 地 属 于 {s7}。 
qstr__These_lands_belong_|这 些 土 地 不 属 于 任 何 人 。 
qstr__The_village_is_infe|这 个 村 子 受 到 {reg8}个 {s35}侵 扰 。 
qstr__The_peasants_hired_|农 民 们 雇 佣 了 雇 佣 军 ， 并 且 在 反 抗 你 。 
qstr__The_village_has_bee|这 个 村 庄 受 到 了 掠 夺 ， 当 你 经 过 那 些 烧 毁 的 房 屋 时 ， 无 数 冤 魂 四 散 而 去 。 
qstr__The_village_is_bein|村 庄 已 遭 到 袭 击 。 
qstr_No_one_here_seems_to|这 里 好 像 没 有 人 想 加 入 你 的 部 队 。 
qstr_One_{s3}_volunteers_|一 个 {s3} 的 志 愿 者 跟 着 你 
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} 自 愿 跟 着 你 
qstr_Try_as_you_might_you|不 论 你 怎 么 努 力 ， 你 都 没 有 能 打 败 这 些 强 盗 。 强 盗 们 十 分 生 气 地 烧 毁 了 村 子 来 报 复 那 些 农 民 ， 然 后 离 开 这 个 烧 焦 的 地 方 去 寻 找 别 的 地 方 进 行 掠 夺 。 
qstr_The_{s17}_has_no_imp|{s17}没 有 升 级 的 设 施 。 
qstr_The_{s17}_has_the_fo|{s17}有 如 下 升 级 的 设 施 ， {s18}。 
qstr_The_assasins_beat_yo|刺 客 把 你 放 倒 ， 然 后 让 你 躺 在 地 上 等 死 ...
qstr_You_have_fallen._The|你 倒 下 了 。 强 盗 们 迅 速 从 你 的 身 上 搜 刮 钱 财 ， 然 后 消 失 在 夜 幕 中 。 但 他 们 没 有 杀 你 。 
qstr_Luckily_some_of_your|很 幸 运 的 是 ， 你 的 一 些 同 伴 发 现 你 没 有 回 来 就 出 来 寻 找 你 ， 并 且 发 现 你 躺 在 路 边 。 他 们 急 忙 把 你 抬 带 安 全 的 地 方 并 为 你 包 扎 伤 口 。 
qstr_Luckily_some_passing|很 幸 运 的 是 ， 一 些 路 过 的 镇 民 发 现 你 躺 在 路 边 上 ， 他 们 差 点 就 把 你 当 成 乞 丐 了 。 他 们 把 你 抬 到 最 近 的 旅 馆 里 并 为 你 包 扎 伤 口 。 
qstr_You_fail_to_steal_an|你 没 能 偷 到 一 头 牛 。 
qstr_You_drive_away_{reg1|你 从 村 子 的 牛 栏 里 赶 走 了 {reg17}{reg12?头 :头 }牛 。 
qstr_You_are_at_{s2}.|你 在 {s2}。 
qstr__This_castle_has_no_|这 座 城 堡 没 有 驻 军 。 
qstr__The_banner_of_your_|您 的 {s11} {s7}的 织 悬 于 樯 橹 之 上 。 
qstr__This_town_has_no_ga|这 座 城 镇 没 有 驻 军 。 
qstr__You_have_successful|你 成 功 潜 入 了 。 
qstr_{s13}_A_tournament_w|{s13}一 场 武 道 大 会 要 开 始 了 。 
qstr___{reg1}_mon_per_nig|( 每 晚 {reg1}文 钱 )
qstr_Moreover_you_earn_{r|此 外 ， 你 聪 明 地 往 自 己 身 上 押 注 ， 赢 得 了 {reg8} 文 钱 。 
qstr_Victory_is_yours!_Yo|你 赢 了 ！ 你 在 这 场 混 战 中 获 胜 了 ， 但 是 你 得 准 备 好 进 入 下 一 轮 比 赛 。 
qstr_You_have_been_bested|你 在 混 战 中 被 打 败 了 ， 但 是 人 们 相 当 认 可 你 的 技 能 和 勇 气 ， 允 许 你 进 入 下 一 轮 比 赛 。 
qstr_You_were_beaten._The|你 被 打 败 了 ， 这 些 农 民 被 他 们 的 胜 利 所 鼓 舞 ， 但 是 你 想 教 给 他 们 的 东 西 他 们 可 能 没 有 真 正 掌 握 ...
qstr_After_beating_your_l|在 你 击 倒 最 后 一 个 对 手 后 ， 你 向 这 些 农 民 解 释 怎 样 更 好 地 防 御 这 样 的 一 击 。 希 望 他 们 能 接 受 这 些 经 验 ， 下 次 能 提 前 做 好 准 备 。 
qstr_The_bandits_are_brok|这 些 强 盗 被 打 败 了 ！ 那 些 还 活 着 的 和 意 识 还 清 醒 的 都 夹 着 尾 巴 逃 跑 了 ， 他 们 惧 怕 这 些 农 民 和 他 们 的 新 教 官 。 
qstr_{s1}_s_Ship|{s1}的 船 
qstr_However_{reg3?You_ar|不 过 ， {reg3?你 :{s1}}不 能 找 到 任 何 能 够 给 你 带 来 利 润 的 商 品 。 
qstr_^Buying_{s4}_here_an|^ 在 这 里 购 买 {s4}然 后 卖 到 {s5}去 ， 将 会 获 得 每 件 商 品 {reg6}文 的 利 润 。 {s3}
qstr_{reg3?You_find:{s1}_|{reg3?你 :{s1}}找 到 下 列 物 品 ， ^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1}个 {s1}获 得 {reg0}点 经 验 。 
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}获 得 了 {reg0}点 额 外 的 经 验 。 
qstr_^You_earned_{reg0}_e|^ 你 获 得 了 {reg0}点 经 验 。 {s2}
qstr_The_training_didn_t_|训 练 进 行 得 很 糟 糕 。 
qstr_The_training_didn_t_g|训 练 进 行 得 不 太 好 。 
qstr_The_training_went_qu|训 练 进 行 得 很 好 。 
qstr_The_training_went_ve|训 练 进 行 得 非 常 好 。 
qstr_The_training_went_pe|训 练 进 行 得 很 完 美 。 
qstr_{s13}_asked_you_to_r|{s13}要 你 带 着 至 少 {reg13}人 去 向 他 报 告 。 
qstr_{s13}_ordered_you_to|{s13}命 令 你 参 加 对 {s14}的 攻 击 。 
